date,region,product_line,inventory_turnover,accounts_receivable_days,delivery_ontime_rate,return_rate
2025-07-01,西南,智能硬件,5.3,31.8,0.99,0.021
2025-07-01,西南,软件服务,0,24.3,0.93,0.01
2025-07-01,华中,智能硬件,4.9,32.8,0.95,0.023
2025-07-01,华中,软件服务,0,27.5,0.93,0.012
2025-07-01,东北,智能硬件,3.7,48.0,0.94,0.037
2025-07-01,东北,软件服务,0,37.7,0.89,0.025
2025-08-01,西南,智能硬件,4.8,28.9,0.9,0.019
2025-08-01,西南,软件服务,0,24.0,0.92,0.01
2025-08-01,华中,智能硬件,4.8,32.3,0.94,0.022
2025-08-01,华中,软件服务,0,26.9,0.91,0.012
2025-08-01,东北,智能硬件,3.5,45.6,0.89,0.035
2025-08-01,东北,软件服务,0,40.4,0.96,0.027
2025-09-01,西南,智能硬件,4.9,29.5,0.92,0.02
2025-09-01,西南,软件服务,0,23.9,0.92,0.01
2025-09-01,华中,智能硬件,5.2,34.5,0.99,0.024
2025-09-01,华中,软件服务,0,28.0,0.95,0.012
2025-09-01,东北,智能硬件,3.3,42.1,0.82,0.033
2025-09-01,东北,软件服务,0,35.2,0.83,0.023
2025-10-01,西南,智能硬件,4.7,28.1,0.88,0.019
2025-10-01,西南,软件服务,0,25.5,0.98,0.01
2025-10-01,华中,智能硬件,5.0,33.5,0.97,0.023
2025-10-01,华中,软件服务,0,27.7,0.94,0.012
2025-10-01,东北,智能硬件,3.3,41.9,0.82,0.033
2025-10-01,东北,软件服务,0,37.3,0.88,0.025
2025-11-01,西南,智能硬件,5.4,32.4,0.99,0.022
2025-11-01,西南,软件服务,0,25.1,0.96,0.01
2025-11-01,华中,智能硬件,5.2,34.4,0.99,0.024
2025-11-01,华中,软件服务,0,29.6,0.99,0.013
2025-11-01,东北,智能硬件,3.2,41.5,0.81,0.032
2025-11-01,东北,软件服务,0,39.3,0.93,0.026
2025-12-01,西南,智能硬件,5.1,30.9,0.97,0.021
2025-12-01,西南,软件服务,0,25.1,0.97,0.01
2025-12-01,华中,智能硬件,4.6,30.8,0.9,0.021
2025-12-01,华中,软件服务,0,28.6,0.97,0.012
2025-12-01,东北,智能硬件,3.3,42.2,0.83,0.033
2025-12-01,东北,软件服务,0,37.6,0.89,0.025
