date,region,product_line,channel,revenue,revenue_target,cost,quantity
2025-01-01,华北,产品A,线上,1250000,1200000,750000,1200
2025-01-01,华北,产品B,线下,980000,1000000,620000,800
2025-01-01,华东,产品A,线上,2100000,2000000,1200000,2100
2025-01-01,华东,产品B,线下,1850000,1800000,1150000,1500
2025-01-01,华南,产品A,线上,1580000,1600000,920000,1500
2025-01-01,华南,产品B,线下,1320000,1300000,820000,1100
2025-02-01,华北,产品A,线上,1180000,1200000,720000,1100
2025-02-01,华北,产品B,线下,1020000,1000000,650000,850
2025-02-01,华东,产品A,线上,2050000,2100000,1180000,2000
2025-02-01,华东,产品B,线下,1920000,1850000,1200000,1600
2025-02-01,华南,产品A,线上,1620000,1600000,950000,1550
2025-02-01,华南,产品B,线下,1280000,1300000,800000,1050
2025-03-01,华北,产品A,线上,1320000,1250000,780000,1300
2025-03-01,华北,产品B,线下,950000,1000000,600000,780
2025-03-01,华东,产品A,线上,2200000,2100000,1280000,2200
2025-03-01,华东,产品B,线下,1780000,1850000,1120000,1450
2025-03-01,华南,产品A,线上,1680000,1650000,980000,1650
2025-03-01,华南,产品B,线下,1350000,1350000,840000,1150
2025-04-01,华北,产品A,线上,1280000,1300000,760000,1250
2025-04-01,华北,产品B,线下,990000,1000000,630000,820
2025-04-01,华东,产品A,线上,2150000,2150000,1260000,2150
2025-04-01,华东,产品B,线下,1880000,1850000,1180000,1550
2025-04-01,华南,产品A,线上,1550000,1600000,910000,1480
2025-04-01,华南,产品B,线下,1380000,1350000,860000,1160
2025-05-01,华北,产品A,线上,1350000,1320000,800000,1320
2025-05-01,华北,产品B,线下,1050000,1020000,670000,880
2025-05-01,华东,产品A,线上,2250000,2200000,1320000,2280
2025-05-01,华东,产品B,线下,1950000,1900000,1220000,1620
2025-05-01,华南,产品A,线上,1720000,1680000,1000000,1680
2025-05-01,华南,产品B,线下,1420000,1380000,880000,1200
2025-06-01,华北,产品A,线上,1400000,1350000,830000,1380
2025-06-01,华北,产品B,线下,1100000,1050000,700000,920
2025-06-01,华东,产品A,线上,2300000,2250000,1350000,2350
2025-06-01,华东,产品B,线下,2000000,1950000,1250000,1680
2025-06-01,华南,产品A,线上,1780000,1700000,1040000,1750
2025-06-01,华南,产品B,线下,1480000,1400000,920000,1250
