date,region,product_line,channel,revenue,revenue_target,cost,quantity
2025-07-01,西南,智能硬件,直销,1825096,1774399,1095058,912
2025-07-01,西南,智能硬件,渠道,1428751,1409701,885826,714
2025-07-01,西南,软件服务,直销,2150506,2052756,860202,0
2025-07-01,西南,软件服务,渠道,1847410,1798793,738964,0
2025-07-01,华中,智能硬件,直销,2047294,1996111,1228376,1023
2025-07-01,华中,智能硬件,渠道,1730038,1709685,1068553,865
2025-07-01,华中,软件服务,直销,2494123,2390201,997649,0
2025-07-01,华中,软件服务,渠道,2013257,1965322,805302,0
2025-07-01,东北,智能硬件,直销,1091411,1071567,654846,545
2025-07-01,东北,智能硬件,渠道,857681,876741,543198,428
2025-07-01,东北,软件服务,直销,1263422,1214829,505369,0
2025-07-01,东北,软件服务,渠道,1050562,1020546,430230,0
2025-08-01,西南,智能硬件,直销,1768776,1719643,1061265,884
2025-08-01,西南,智能硬件,渠道,1499825,1479827,929891,749
2025-08-01,西南,软件服务,直销,2298974,2194475,919589,0
2025-08-01,西南,软件服务,渠道,1965538,1913814,786215,0
2025-08-01,华中,智能硬件,直销,2004088,1953985,1202452,1002
2025-08-01,华中,智能硬件,渠道,1766175,1745396,1090872,883
2025-08-01,华中,软件服务,直销,2546263,2440169,1018505,0
2025-08-01,华中,软件服务,渠道,2059364,2010332,823745,0
2025-08-01,东北,智能硬件,直销,1166640,1145428,699984,583
2025-08-01,东北,智能硬件,渠道,944832,965828,598393,472
2025-08-01,东北,软件服务,直销,1318232,1267531,527293,0
2025-08-01,东北,软件服务,渠道,1045325,1015458,428085,0
2025-09-01,西南,智能硬件,直销,1990298,1935012,1194179,995
2025-09-01,西南,智能硬件,渠道,1565489,1544615,970603,782
2025-09-01,西南,软件服务,直销,2242404,2140476,896961,0
2025-09-01,西南,软件服务,渠道,1937376,1886392,774950,0
2025-09-01,华中,智能硬件,直销,2189498,2134761,1313699,1094
2025-09-01,华中,智能硬件,渠道,1819633,1798225,1123891,909
2025-09-01,华中,软件服务,直销,2617710,2508639,1047084,0
2025-09-01,华中,软件服务,渠道,2274243,2220095,909697,0
2025-09-01,东北,智能硬件,直销,1169985,1148712,701991,584
2025-09-01,东北,智能硬件,渠道,996580,1018726,631167,498
2025-09-01,东北,软件服务,直销,1362209,1309816,544883,0
2025-09-01,东北,软件服务,渠道,1118464,1086508,458037,0
2025-10-01,西南,智能硬件,直销,2021292,1965145,1212775,1010
2025-10-01,西南,智能硬件,渠道,1652777,1630740,1024722,826
2025-10-01,西南,软件服务,直销,2477575,2364958,991030,0
2025-10-01,西南,软件服务,渠道,2085696,2030810,834278,0
2025-10-01,华中,智能硬件,直销,2220914,2165391,1332548,1110
2025-10-01,华中,智能硬件,渠道,1775790,1754898,1096811,887
2025-10-01,华中,软件服务,直销,2550695,2444416,1020278,0
2025-10-01,华中,软件服务,渠道,2244771,2191324,897908,0
2025-10-01,东北,智能硬件,直销,1152777,1131817,691666,576
2025-10-01,东北,智能硬件,渠道,956951,978216,606069,478
2025-10-01,东北,软件服务,直销,1365130,1312625,546052,0
2025-10-01,东北,软件服务,渠道,1121187,1089153,459152,0
2025-11-01,西南,智能硬件,直销,2040423,1983744,1224253,1020
2025-11-01,西南,智能硬件,渠道,1659724,1637595,1029029,829
2025-11-01,西南,软件服务,直销,2435439,2324738,974175,0
2025-11-01,西南,软件服务,渠道,2072806,2018258,829122,0
2025-11-01,华中,智能硬件,直销,2193395,2138560,1316037,1096
2025-11-01,华中,智能硬件,渠道,1978231,1954957,1221848,989
2025-11-01,华中,软件服务,直销,2723528,2610048,1089411,0
2025-11-01,华中,软件服务,渠道,2374917,2318371,949967,0
2025-11-01,东北,智能硬件,直销,1195825,1174082,717495,597
2025-11-01,东北,智能硬件,渠道,1028621,1051479,651460,514
2025-11-01,东北,软件服务,直销,1412242,1357925,564896,0
2025-11-01,东北,软件服务,渠道,1163342,1130104,476416,0
2025-12-01,西南,智能硬件,直销,2158114,2098166,1294868,1079
2025-12-01,西南,智能硬件,渠道,1745999,1722719,1082519,872
2025-12-01,西南,软件服务,直销,2542528,2426959,1017011,0
2025-12-01,西南,软件服务,渠道,2220076,2161653,888030,0
2025-12-01,华中,智能硬件,直销,2368570,2309356,1421142,1184
2025-12-01,华中,智能硬件,渠道,2001919,1978367,1236479,1000
2025-12-01,华中,软件服务,直销,2694971,2582681,1077988,0
2025-12-01,华中,软件服务,渠道,2316741,2261580,926696,0
2025-12-01,东北,智能硬件,直销,1244699,1222068,746819,622
2025-12-01,东北,智能硬件,渠道,1014096,1036632,642261,507
2025-12-01,东北,软件服务,直销,1457427,1401372,582971,0
2025-12-01,东北,软件服务,渠道,1254005,1218176,513545,0
